category,link,scraped_at,time,title
ENTERTAINMENT,https://www.suara.com/entertainment/2020/11/22/090000/deddy-corbuzier-sentil-pedas-iis-dahlia-kenapa-ngutang-kalau-tak-mampu,2020-11-22 22:22:19.986272,09:00 WIB,Deddy Corbuzier Sentil Pedas Iis Dahlia: Kenapa Ngutang Kalau Tak Mampu?
JAKARTA,https://jakarta.suara.com/read/2020/11/22/100952/tni-dan-polisi-ikut-copot-baliho-rizieq-di-tangerang-fpi-cuma-bisa-pasrah,2020-11-22 22:22:20.039389,10:09 WIB,"TNI dan Polisi Ikut Copot Baliho Rizieq di Tangerang, FPI Cuma Bisa Pasrah"
JABAR,https://jabar.suara.com/read/2020/11/22/020000/sejumlah-anak-kena-covid-19-di-bogor-bima-arya-tertular-dari-keluarga,2020-11-22 22:22:20.101047,02:00 WIB,"Sejumlah Anak Kena Covid-19 di Bogor, Bima Arya: Tertular dari Keluarga"
NEWS,https://www.suara.com/news/2020/11/22/091359/titiek-soeharto-hadiri-pernikahan-anak-rizieq-warganet-salfok-sama-ini,2020-11-22 22:22:20.148912,09:13 WIB,"Titiek Soeharto Hadiri Pernikahan Anak Rizieq, Warganet Salfok Sama Ini"
ENTERTAINMENT,https://www.suara.com/entertainment/2020/11/22/104311/selamat-tata-janeeta-umumkan-hamil-anak-raden-brotoseno,2020-11-22 22:22:20.201039,10:43 WIB,"Selamat, Tata Janeeta Umumkan Hamil Anak Raden Brotoseno"
SULSEL,https://sulsel.suara.com/read/2020/11/22/091237/beredar-kabar-habib-rizieq-akan-ke-makassar-fpi-sulsel-itu-hoaks,2020-11-22 22:22:20.249610,09:12 WIB,"Beredar Kabar Habib Rizieq Akan ke Makassar, FPI Sulsel: Itu Hoaks"
NEWS,https://www.suara.com/news/2020/11/22/114745/anies-baswedan-sapa-publik-via-twitter-warganet-salfok-sindir-jokowi,2020-11-22 22:22:20.300630,11:47 WIB,"Anies Baswedan Sapa Publik via Twitter, Warganet Salfok: Sindir Jokowi?"
LIFESTYLE,https://www.suara.com/lifestyle/2020/11/22/071000/foto-rafathar-disandingkan-dengan-go-kyung-pyo-kayak-kembar-beda-umur,2020-11-22 22:22:20.350745,07:10 WIB,"Foto Rafathar Disandingkan dengan Go Kyung Pyo, Kayak Kembar Beda Umur!"
JATIM,https://jatim.suara.com/read/2020/11/22/105902/tragis-dihabisi-depan-istri-celurit-pelaku-menancap-di-dada-sugeng,2020-11-22 22:22:20.401650,10:59 WIB,"Tragis! Dihabisi Depan Istri, Celurit Pelaku Menancap di Dada Sugeng"
ENTERTAINMENT,https://www.suara.com/entertainment/2020/11/22/070000/chat-mesra-anang-buat-ashanty-nyasar-ke-grup-sampai-bocor-aku-kangen-parah,2020-11-22 22:22:20.455689,07:00 WIB,Chat Mesra Anang buat Ashanty Nyasar ke Grup sampai Bocor: Aku Kangen Parah
